part,lesson_id,lesson_label,function,approx_line,context,descriptor,construction,nearest_component,source
Start Smarter,welcome,Welcome,WelcomeSection,2723,,HOW LESSONS WORK,card grid (auto-fit),,grep
Start Smarter,whydeeper,Why Learn AI?,WhyDeeperSection,2786,,AI is hiding in apps you use every day,card grid (auto-fit),,grep
Start Smarter,aihistory,What Is AI?,AIHistorySection,1522,lesson flow,Peanut butter and __ -> jelly,tinted band w/ colored pill backgrounds,ShowcaseBox,agent
Start Smarter,aihistory,What Is AI?,AIHistorySection,1541,lesson flow,"Same word, different odds",tinted band w/ grid of white cards,ShowcaseBox,agent
Start Smarter,llms,Meet the Tool,WatchTonightSeeIt,1691,activity interior of Watch Tonight SEE IT,Netflix watch-tonight demo cards,fixed-column grid,,grep
Start Smarter,llms,Meet the Tool,LLMsSection,1736,lesson flow,Two kinds of AI split panel,tinted band w/ flexed colored cards,ShowcaseBox,agent
Start Smarter,studying,Study with AI,StudyingWithAISection,8899,lesson flow,General Tutor vs Source-grounded Tutor,tinted grid with two cards,CompareBox,agent
Start Smarter,studying,Study with AI,StudyingWithAISection,8936,lesson flow,NotebookLM workflow flow,tinted three-column flow grid,none,agent
Understand AI,howwegothere,How We Got Here,HowWeGotHereSection,2228,,ChatGPT Launches,lavender band,,grep
Understand AI,aivscode,Rules vs Patterns,AIvsCodeSection,3460,,Fixed Rules vs. Built From Patterns,fixed-column grid,,grep
Understand AI,norules,Harder to Control,BlackBoxSection,3629,lesson flow,You'll see stories like this,grid of white cards w/ icons,ShowcaseBox,agent
Understand AI,data,Mess to Meaning,DataSection,3714,,Learns from messy data,fixed-column grid,,grep
Understand AI,aiismath,AI is Math,AIIsMathSection,1947,,The setup,fixed-column grid,,grep
Understand AI,aiismath,AI is Math,AIIsMathSection,2171,,Autoregressive Generation,lavender band,,grep
Understand AI,aiismath,AI is Math,AIIsMathSection,2186,,Autoregressive Generation,gradient band,,grep
Understand AI,tokens,Tokens,TokenSection,4769,lesson flow,Here's how text is split into tokens,tinted band w/ token table,ShowcaseBox,agent
Understand AI,embeddings,Embeddings,EmbeddingsSection,4919,lesson flow,Taste Profile Coke vs Black Coffee,hand-built comparison grid,none,agent
Understand AI,embeddings,Embeddings: Meaning as Numbers,EmbeddingsSection,4983,,DO WE NEED MORE DIMENSIONS?,lavender band,,grep
Understand AI,vectorspace,Vector Space,VectorSpaceSection,5014,lesson flow,Taste Profile Coke vs Pepsi vs Black Coffee,hand-built comparison grid,none,agent
Understand AI,attention,Attention,HowAIReadsSection,3832,lesson flow,Three situations where meaning is unclear,tinted band w/ three colored interior cards,none,agent
Understand AI,attention,Attention,HowAIReadsSection,3875,lesson flow,How AI used to read,light blue band w/ word tokens in grid,none,agent
Understand AI,attention,Attention,HowAIReadsSection,3974,,THE BREAKTHROUGH,card grid (auto-fit),,grep
Understand AI,attention,Attention,HowAIReadsSection,4090,lesson flow,attention walkthrough band,lavender band,,grep
Understand AI,training,Training,TrainingSection,4471,,HOW LLMS TRAIN,lavender band,,grep
Understand AI,training,Training,TrainingSection,4485,,HOW LLMS TRAIN,lavender band,,grep
Understand AI,prompt,Context Window,PromptSection,5939,,CONTEXT WINDOW SIZE,card grid (auto-fit),,grep
Understand AI,inference,Inference: From Prompt to Output,InferenceSection,5532,,Same model. Different context. Every token changes.,fixed-column grid,,grep
Understand AI,inference,Inference: From Prompt to Output,InferenceSection,5547,,Same model. Different context. Every token changes.,fixed-column grid,,grep
Understand AI,inference,Inference: From Prompt to Output,InferenceSection,5568,,", { style: { fontFamily: ",fixed-column grid,,grep
Understand AI,inference,Inference,TemperatureSection,7059,embedded temperature beat,three temperature mode cards,icon+label+description cards in flex,none,agent
Understand AI,inference,Inference,TemperatureSection,7168,inside ShowcaseBox repeatability vs variety,Repeatability / Variety cards,two bordered cards w/ top color accent,none,agent
Work With AI,choosemodel,Choose the Model,ChoosingModelSection,6867,inside ShowcaseBox The model family,three tier rows w/ bars and personas,white card w/ numbered rows and bar charts,NumberedRows,agent
Work With AI,effort,Effort Dial,ThinkingModeSection,6978,,WHERE TO FIND THE DIAL,info callout strip,,grep
Work With AI,customization,Customization & Memory,CustomizationSection,6120,,You set some. The model picks up the rest.,fixed-column grid,,grep
Work With AI,customization,Customization & Memory,CustomizationSection,6204,lesson flow,memory info strip (personal continuity),info callout strip,,grep
Work With AI,questionsvaluable,Questions Matter,QuestionsValuableSection,12530,lesson flow,weak vs better question,red/green side-by-side comparison cards,CompareBox,agent
Work With AI,prompting,Art of Prompting,PromptingSection,8395,activity interior of SEE IT,bad/better prompt responses,red and green tinted boxes,none,agent
Check the Output,howmuchtocheck,How Much to Check,AIStrengthsSection,2501,lesson flow,checking-effort spectrum diagram (svg arrows),fixed-column grid,,grep
Avoid Traps,hallucination,Hallucination,HallucinationSection,7312,,WHAT COUNTS AS A HALLUCINATION?,fixed-column grid,,grep
Avoid Traps,trainingbias,Training Bias Trap,TrainingBiasSection,4303,lesson flow,How Bias Gets In,grid of white cards w/ icon+term+desc,ShowcaseBox,agent
Avoid Traps,trainingbias,Training Bias Trap,TrainingBiasSection,4356,,Slow down for decisions about people.,left-border callout,,grep
Avoid Traps,documenttrap,Document Trap,DocumentChatSection,6419,inside ShowcaseBox WHAT IT LOOKS LIKE,AI ANSWER / ALSO IN THE RULEBOOK,two left-bordered callouts side by side,none,agent
Avoid Traps,flattery,Flattery Trap,FlatteryTrapSection,9878,lesson flow,sycophantic vs honest response,red and green tinted comparison boxes,none,agent
Avoid Traps,flattery,Flattery Trap,FlatteryTrapSection,9917,,How to Fight It,left-border callout,,grep
Avoid Traps,supporttrap,Support Trap,SupportTrapSection,10190,,"Same model, different jobs.",card grid (auto-fit),,grep
Avoid Traps,faketrap,The Fake Trap,SyntheticMediaSection,11519,,THE THREE CHECKS,gradient band,,grep
Embrace the Future,workchanges,Work Changes,WorkChangesSection,12888,lesson flow,job exposure framework,two-column comparison boxes,CompareBox,agent
Embrace the Future,workchanges,Work Changes,WorkChangesSection,12982,,MOST JOBS ARE MIXED,fixed-column grid,,grep
Embrace the Future,workchanges,Work Changes,WorkChangesSection,13049,,THE SHIFT,fixed-column grid,,grep
Embrace the Future,workchanges,Work Changes,WorkChangesSection,13072,,THE SHIFT,lavender band,,grep
Embrace the Future,workchanges,Work Changes,WorkChangesSection,13107,,Some jobs didn\u2019t exist ten years ago.,fixed-column grid,,grep
Embrace the Future,agents,The Rise of Agents,WhenAIActsSection,9532,,TWO KINDS OF ACCESS,card grid (auto-fit),,grep
Embrace the Future,agents,The Rise of Agents,WhenAIActsSection,9551,lesson flow,The shape to remember (info strip),info callout strip,,grep
Embrace the Future,aijudges,When AI Judges You,WhenAIJudgesSection,11150,inside ShowcaseBox THREE MODES TO RECOGNIZE,three mode callouts,left-border accent callouts,none,agent
Embrace the Future,aijudges,When AI Judges You,WhenAIJudgesSection,11180,inside ShowcaseBox FOUR ROLES IN EVERY DEPLOYMENT,four role callouts,left-border accent callouts,none,agent
Embrace the Future,aijudges,When AI Judges You,WhenAIJudgesSection,11230,lesson flow,Ask for the paper trail,left-border callout,none,agent
Embrace the Future,aifuture,The Future,AIFutureSection,13203,activity interior,Prediction/Friction/Reality flow,three connected dashed boxes,none,agent
Embrace the Future,aifuture,The Future,AIFutureSection,13265,lesson flow,prediction/friction/reality diagram,flow boxes w/ arrow connectors,none,agent
Embrace the Future,aifuture,The Future,AIFutureSection,13292,inside ShowcaseBox HOW TO JUDGE THE NEXT CLAIM,three numbered test cards,label+question+example cards,NumberedRows,agent
Embrace the Future,aifuture,The Future,AIFutureSection,13355,inside ShowcaseBox TALKING ABOUT AI,four concern cards,quote+explanation card grid,ShowcaseBox,agent
Build Your Skills,integrity,Integrity,IntegritySection,10487,inside ShowcaseBox Where the Line Is,red/yellow/green integrity scenarios,color-coded tinted boxes,none,agent
Build Your Skills,integrity,Integrity,IntegritySection,10549,lesson flow,plagiarism vs copyright,white bordered boxes,CompareBox,agent
Build Your Skills,privacy,Privacy,PrivacySection,10995,lesson flow,When safety is involved (red callout),left-border callout,,grep
Build Your Skills,humanedge,Skills That Matter,HumanEdgeSection,12731,inside ShowcaseBox SKILLS THAT GAIN VALUE,8 icon+title+desc cards,two-column card grid,ShowcaseBox,agent
Build Your Skills,humanedge,Skills That Matter,HumanEdgeSection,12752,inside ShowcaseBox FOUR MOVES,icon+title+body cards,card grid w/ shadow,ShowcaseBox,agent
Build Your Skills,creativethinking,Creative Thinking,CreativeThinkingSection,9331,,WHO THINKS CREATIVELY,card grid (auto-fit),,grep
Build Your Skills,buildedge,Your Edge,BuildEdgeSection,13489,inside ShowcaseBox,five category cards,icon card grid,ShowcaseBox,agent
Build Your Skills,buildedge,Your Edge,BuildEdgeSection,13541,,Here are the categories. Pick one that calls you.,card grid (auto-fit),,grep
Build Your Skills,buildedge,Your Edge,BuildEdgeSection,13608,,Picking the thing is the easy part.,card grid (auto-fit),,grep
Finish Smarter,whatyoulearned,What You Learned,WhatYouLearnedSection,11585,lesson flow,Patterns / Probability / Human Judgment cards,colored tinted concept cards,none,agent
Finish Smarter,whatyoulearned,What You Learned,WhatYouLearnedSection,11635,inside ShowcaseBox QUESTIONS YOU CAN ANSWER NOW,numbered question list,circular badge + text rows,NumberedRows,agent
Finish Smarter,whatyoulearned,What You Learned,WhatYouLearnedSection,11643,lesson flow,celebration box,gradient band w/ emoji headline,none,agent
Finish Smarter,fullworkflow,The Full Loop,FullWorkflowSection,11710,,"linear-gradient(135deg, #ede9fe, #e0e7ff)",gradient band,,grep
Finish Smarter,fullworkflow,The Full Loop,FullWorkflowSection,11801,lesson flow,left-border callout in The Full Loop,left-border callout,,grep
Finish Smarter,keyterms,Vocab Quiz,KeyTermsSection,3301,,Vocab Quiz,fixed-column grid,,grep
Finish Smarter,keyterms,Vocab Quiz,KeyTermsSection,3349,activity interior,"quiz feedback band (Got it, try again)",gradient band,,grep
Finish Smarter,headtohead,Beat the Clock,HeadToHeadSection,12277,activity intro phase,challenge headline box,bordered info box,none,agent
Finish Smarter,headtohead,Beat the Clock,HeadToHeadSection,12288,activity intro phase,"stat boxes (5 decisions, timer, +10s)",grid of three stat boxes,none,agent
Finish Smarter,headtohead,Beat the Clock,HeadToHeadSection,12431,activity interior,in-game score/timer UI,fixed-column grid,,grep
,DEAD CODE,unreached component,YouAlreadyUseSection,1603,dead code: never rendered,How does it give you directions?,card grid (auto-fit),,grep
,DEAD CODE,unreached component,StakeholdersSection,11381,dead code: never rendered,What systems exchange to scale.,card grid (auto-fit),,grep
